Prioridade,Status,name,name_PtBr,subname,subname_PtBr,ability,ability_PtBr,flavorText,flavorText_PtBr,initiative,initiative_PtBr
,Ok,Annex of the Arcane,Anexo do Arcano,,,"At the beginning of combat, flip a coin. If heads, put a :genericmugic: on your engaged Creature. If tails, put a :genericmugic: on the opposing engaged Creature.
Creatures with one or more Mugic counters have an additional 10 Energy.","No início do combate, jogue uma moeda. Se der cara, coloque um :genericmugic: na sua Criatura Engajada. Se der coroa, coloque um :genericmugic: na Criatura oponente Engajada.
Criaturas com um ou mais marcadores Mugic têm 10 de Energia adicionais.",,,Wisdom,Sabedoria
,Ok,AZAIA Mindscrying Chamber,Câmara de Vidência Mental AZAIA,,,"When this becomes the active Location, Creatures lose all Elemental Types.","Quando este Local se torna o ativo, as Criaturas perdem todos os seus Tipos Elementais.",Your most private secrets may be locked in the deepest recesses of your mind... but we hold the key.,Seus segredos mais íntimos podem estar trancados nos recônditos mais profundos da sua mente... mas nós temos a chave.,M'arrillian,M'arrillian
,Ok,Bodal's Arsenal,Arsenal de Bodal,,,"When this becomes the active Location, each player can return a Battlegear Card from their general discard pile to play equipped to an unequipped Creature that player controls.","Quando este Local se torna o Local Ativo, cada jogador pode retornar uma Carta de Equipamento de Batalha de sua pilha de descarte geral e joga-la equipada em uma Criatura desequipada que aquele jogador controla.",,,Wisdom,Sabedoria
2,Ok,Brawlers' Burrow,Toca dos Brigões,Pugilist's Pit,Poço do Pugilista,"When this becomes the active Location, both players shuffle their Attack Decks and attack discard piles together.
All Creatures have ""Outperform all Disciplines 5.""","Quando este Local se torna o Local ativo, ambos os jogadores embaralham seus Baralhos de Ataque e pilhas de descarte de ataque juntos.
Todas as Criaturas têm ""Superar todas as Disciplinas 5"".",,,Speed,Velocidade
2,Ok,Brawlers' Burrow,Toca dos Brigões,,,"Engaged Creatures have ""Disarm.""","Criaturas Engajadas possuem a habilidade ""Desarmar"".","Unfortunately for Solvis, eye gouging is still legal.","Infelizmente para Solvis, arrancar olhos ainda é legal.",Power,Poder
2,Ok,Broken Edge,Borda Quebrada,,,"Engaged Creatures have ""Outperform :speed:Speed 5."" 
Damage dealt by :wisdom:Wisdom Attacks is reduced by 5.","Criaturas Engajadas têm ""Superar :speed:Velocidade 5.""

O dano causado por Ataques de :wisdom:Sabedoria é reduzido em 5.",Nature wages its own war between the forest and the desert.,A natureza trava sua própria guerra entre a floresta e o deserto.,Air,Ar
,Ok,Carnival of Confusion,Carnaval da Confusão,Mind Games,Jogos Mentais,"When a player would draw and play an Attack Card, instead they reveal and play the top card of their Attack Deck.","Quando um jogador for comprar e jogar uma Carta de Ataque, em vez disso, ele revela e joga a carta do topo do seu Baralho de Ataque.","If I say I'm lying, am I telling the truth?","Se eu disser que estou mentindo, estarei dizendo a verdade?",Speed,Velocidade
,Ok,Carnival of Confusion,Carnaval da Confusão,The Entangled Throne,O Trono Emaranhado,"When this becomes the active Location, Creatures lose all Elemental Types. If a Creature lost :fire:Fire, it gains :water:Water. If a Creature lost :water:Water, it gains :air:Air. If a Creature lost :air:Air, it gains :earth:Earth. If a Creature lost :earth:Earth, it gains :fire:Fire.
Elemental Attacks deal an additional 5 damage.","Quando este Local se torna o ativo, as Criaturas perdem todos os seus Tipos Elementais. Se uma Criatura perdeu o Elemento :fire:Fogo, ela ganha o Elemento :water:Água. Se uma Criatura perdeu o Elemento :water:Água, ela ganha o Elemento :air:Ar. Se uma Criatura perdeu o Elemento :air:Ar, ela ganha o Elemento :earth:Terra. Se uma Criatura perdeu o Elemento :earth:Terra, ela ganha o Elemento :fire:Fogo.
Ataques Elementais causam 5 de dano adicional.",,,Speed,Velocidade
,Ok,Carnival of Confusion,Carnaval da Confusão,,,"When an attack is played, flip a coin. If heads, that attack deals double damage. If tails, that attack deals 0 damage.","Ao realizar um ataque, jogue uma moeda. Se sair cara, o ataque causa o dobro do dano. Se sair coroa, o ataque causa 0 de dano.",Here your fate rests with your fortune.,"Aqui, seu destino está em jogo, assim como sua fortuna.",Speed,Velocidade
,Ok,Castle Bodhran,Castelo de Bodhran,,,"At the beginning of combat, each player can return a Mugic Card from their general discard pile to their hand.","No início do combate, cada jogador pode retornar uma Carta Mugic de sua pilha de descarte geral para sua mão.","This strange stronghold is built in a style that might best be called ""bizzarechitecture.""","Essa estranha fortaleza foi construída em um estilo que poderia ser melhor descrito como ""arquitetura bizarra"".",Power,Poder
