id,name,set,rarity,tribe,ability,flavorText,unique,mugicCost,artist,imageUrl,mugicNotes/0/letter,mugicNotes/0/length,mugicNotes/0/sharp,mugicNotes/0/flat,mugicNotes/1/letter,mugicNotes/1/length,mugicNotes/1/sharp,mugicNotes/1/flat,mugicNotes/2/letter,mugicNotes/2/length,mugicNotes/2/sharp,mugicNotes/2/flat,mugicNotes/3/letter,mugicNotes/3/length,mugicNotes/3/sharp,mugicNotes/3/flat,mugicNotes/4/letter,mugicNotes/4/length,mugicNotes/4/sharp,mugicNotes/4/flat,mugicNotes/5/letter,mugicNotes/5/length,mugicNotes/5/sharp,mugicNotes/5/flat,mugicNotes/6/letter,mugicNotes/6/length,mugicNotes/6/sharp,mugicNotes/6/flat,uniqueId,mugicNotes/0
183/232,Canon of Casualty,dop,uncommon,underworld,Deal 20 damage to target Creature.,"Even before the first three notes finish playing, OverWorlders scramble for the nearest shelter.",false,1,Jerico Santander,https://i.imgur.com/hSGT5VV.png,E,2,false,true,F,2,false,false,D,2,false,false,G,2,false,false,B,2,false,true,A,1,false,false,D,3,false,false,Canon of Casualty__dop,
175/232,Cascade Symphony,dop,rare,overworld,Damage dealt to target Creature by :fire:Fire or :air:Air attacks is reduced by 5. (An attack which is both :fire:Fire and :air:Air is still reduced by 5.),"""There is but one true language, and that is Mugic. All else is gibberish."" - Donmar",false,1,Peter Joworoski,https://i.imgur.com/dp34ZzI.png,B,2,false,true,D,1,false,false,F,3,false,false,G,1,false,false,B,1,false,true,B,1,false,true,C,4,false,false,Cascade Symphony__dop,
191/232,Chorus of the Hive,dop,common,danian,Activate Hive.,What repels some attracts others. Is preference learned or ingrained?,false,1,Peter Joworoski,https://i.imgur.com/2TlXa5m.png,C,1,false,false,G,1,false,false,A,1,false,true,C,1,false,false,G,1,false,false,A,1,false,true,D,4,false,false,Chorus of the Hive__dop,
165/232,Decrescendo,dop,common,generic,Deal 5 damage to target Creature.,Minimalism to the max.,false,1,Jerico Santander,https://i.imgur.com/0vmIAIz.png,G,2,false,false,G,1,false,false,F,1,false,false,E,2,false,true,E,2,false,true,C,1,false,false,D,4,false,false,Decrescendo__dop,
184/232,Discord of Disarming,dop,uncommon,underworld,Destroy target Battlegear.,"As his Windstrider decomposes into shrapnel, Bodal calculates that it will take 56.4 seconds before he splats on the ground.",false,1,Martin Molski,https://i.imgur.com/85wqGRI.png,E,3,false,false,D,3,true,false,E,3,false,false,D,3,true,false,D,1,false,true,E,1,false,false,A,4,true,false,Discord of Disarming__dop,
166/232,Ember Flourish,dop,uncommon,generic,Heal 15 damage to target Creature with :air:Air or :fire:Fire.,"No matter how many you carry with you, a song can never weigh you down.",false,1,Jeff Huang,https://i.imgur.com/I2qFZup.png,A,1,false,false,B,1,false,false,C,1,false,false,A,1,false,false,B,1,false,false,C,1,false,false,E,4,false,false,Ember Flourish__dop,
197/232,Fanfare of the Vanishing,dop,rare,mipedian,"Target Creature gains ""Invisibility: Strike 15.""","When a melody becomes memory, it will never disappear.",false,1,Karol Kolodzinski,https://i.imgur.com/Y8JlfJc.png,B,1,false,true,G,1,false,true,A,1,false,true,F,1,false,false,G,1,false,false,E,1,false,true,F,4,false,false,Fanfare of the Vanishing__dop,
167/232,Fortissimo,dop,super rare,generic,"Target Creature gains 5 :courage:Courage, :power:Power, :wisdom:Wisdom, :speed:Speed, and Energy.","Large is good. Larger is better. But really, really big is sometimes best.",false,1,Martin Molski,https://i.imgur.com/TH3hodk.png,G,2,true,false,C,1,true,false,E,2,false,false,C,2,true,false,D,2,true,false,G,1,false,false,F,4,true,false,Fortissimo__dop,
168/232,Geo Flourish,dop,uncommon,generic,Heal 15 damage to target Creature with :earth:Earth or :water:Water.,Protect the land and the land will protect you.,false,1,Jeff Huang,https://i.imgur.com/WoX1z9x.png,B,1,false,true,A,1,false,false,G,1,false,false,F,1,false,false,E,2,false,true,A,2,false,true,G,4,false,false,Geo Flourish__dop,
176/232,Hymn of the Elements,dop,common,overworld,Target Creature gains an Elemental Type of your choice.,All elements stem from nature — as does the Cothica itself.,false,1,Jerico Santander,https://i.imgur.com/DtE5e0A.png,A,1,false,false,B,1,false,true,C,2,false,false,F,2,false,false,E,2,false,false,D,1,false,false,A,4,false,true,Hymn of the Elements__dop,
