id,displayName,displayName_pt,importName,name,name_pt,subname,subname_pt,set,serial,rarity,ability,ability_pt,flavorText,flavorText_pt,unique,initiative,initiative_pt,type,type_pt,artist,imageUrl,uniqueId
DOP-203/232,Castle Bodhran,Castelo Bodhran,castlebodhran,Castle Bodhran,Castelo Bodhran,,,dop,203/232,super rare,"At the beginning of combat, each player can return a Mugic Card from their general discard pile to their hand.","No início do combate, cada jogador pode retornar um Mugic do Descarte para sua mão.","This strange stronghold is built in a style that might best be called ""bizzarechitecture.""","Essa estranha fortaleza foi construída em um estilo que poderia ser melhor descrito como ""bizarrarquitetura"".",FALSE,Power,Poder,,,"Keith Conroy, Jimmy Tran",https://i.imgur.com/XbkLs3f.png,Castle Bodhran__dop
DOP-204/232,Castle Pillar,Castelo de Pilares,castlepillar,Castle Pillar,Castelo de Pilares,,,dop,204/232,ultra rare,"At the beginning of combat, if an engaged Creature has higher :wisdom:Wisdom than the opposing engaged Creature, put a :genericmugic: on it.","No início do combate, se uma Criatura em combate tiver :wisdom:Sabedoria maior do que a Criatura em combate do oponente, coloque um :genericmugic: nela.",,,TRUE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/tLHVA0R.png,Castle Pillar__dop
DOP-205/232,Cordac Falls,Cataratas Cordac,cordacfalls,Cordac Falls,Cataratas Cordac,,,dop,205/232,common,"At the beginning of combat, engaged Creatures gains 5 Energy.","No início do combate, as criaturas combatentes ganham 5 de Energia.",Cordac's teardrops plunge into the abyss with nary a splash or spray...,As lágrimas de Cordac mergulham no abismo sem um único respingo ou borrifo...,FALSE,OverWorld,OutroMundo,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/oV7ogkt.png,Cordac Falls__dop
DOP-206/232,Cordac Falls Plungepool,Piscina das Cataratas de Cordac,cordacfallsplungepool,Cordac Falls Plungepool,Piscina das Cataratas de Cordac,,,dop,206/232,common,"At the beginning of combat, deal 5 damage to engaged Creatures.","No início do combate, cause 5 de dano às criaturas combatentes.","...and strike the lake miles below, exploding outwards into the fray.","...e atingem o lago quilômetros abaixo, explodindo para fora em meio à batalha.",FALSE,UnderWorld,Submundo,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/bT6BPtI.png,Cordac Falls Plungepool__dop
DOP-207/232,Crystal Cave,Caverna de Cristal,crystalcave,Crystal Cave,Caverna de Cristal,,,dop,207/232,uncommon,"If an engaged Creature has lower :speed:Speed than the opposing engaged Creature, it deals 0 damage on its first attack each combat.",A criatura em combate com menor :speed:Velocidade  causa 0 de dano em seu primeiro ataque.,The ancient Mugicians mined the hardest substance in all of Perim to protect their mystical melodies.,Os antigos Mugicians extraíam a substância mais dura de todo a Perim para proteger suas melodias místicas.,FALSE,Speed,Velocidade,,,"Damien Labonte, Kevin Chai",https://i.imgur.com/0DMycSv.png,Crystal Cave__dop
DOP-208/232,Doors of the Deepmines,Portas das Minas Profundas,doorsofthedeepmines,Doors of the Deepmines,Portas das Minas Profundas,,,dop,208/232,uncommon,"At the beginning of combat, Creatures with :water:Water gain 10 Energy.","No início do combate, criaturas com :water:Água ganham 10 de Energia.","In a rare sign of solidarity, all four tribes guard the massive doors, hoping they never open again.","Num raro sinal de solidariedade, as quatro tribos guardam as portas maciças, na esperança de que nunca mais se abram.",FALSE,Speed,Velocidade,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/YKFWpUt.png,Doors of the Deepmines__dop
DOP-209/232,Dranakis Threshold,Limiar de Dranakis,dranakisthreshold,Dranakis Threshold,Limiar de Dranakis,,,dop,209/232,super rare,Mugic and activated abilities cannot be played.,Mugics e habilidades ativadas não podem ser usadas.,The few who have survived utter nary a word of what lies beyond.,Os poucos que sobreviveram não proferem uma palavra sequer sobre o que existe além.,FALSE,Courage,Coragem,,,"Christopher Palesti, David Curiel",https://i.imgur.com/k5Mrj5w.png,Dranakis Threshold__dop
DOP-210/232,Everrain,Chuva Eterna,everrain,Everrain,Chuva Eterna,,,dop,210/232,uncommon,":water:Water attacks deal an additional 5 damage.
Damage dealt by :earth:Earth attacks is reduced by 5.",Ataques de :water:Água causam 5 de dano adicional. O dano causado por ataques de Terra é reduzido em 5.,Lake Ken-I-Po seeps through the UnderWorld ceiling in an unending reminder of the OverWorld's aqueous bounty.,"O Lago Ken-I-Po infiltra-se pelo teto do Submundo, num lembrete constante da abundância aquática do OutroMundo.",FALSE,Courage,Coragem,,,"Keith Conroy, Emilio Lopez",https://i.imgur.com/ntNkMd6.png,Everrain__dop
DOP-211/232,Eye of the Maelstrom,Olho da Tempestade,eyeofthemaelstrom,Eye of the Maelstrom,Olho da Tempestade,,,dop,211/232,uncommon,"When this becomes the active Location, each player discards a Mugic Card.","Quando este se torna o local ativo, cada jogador descarta um Mugic.","No wind, no sound - just madness.","Sem vento, sem som - apenas loucura.",FALSE,Power,Poder,,,"Keith Conroy, David Curiel",https://i.imgur.com/UiQl4db.png,Eye of the Maelstrom__dop
DOP-212/232,Fear Valley,Vale do Medo,fearvalley,Fear Valley,Vale do Medo,,,dop,212/232,uncommon,"At the beginning of combat, if an engaged Creature has lower :courage:Courage than the opposing engaged Creature, it loses 10 Energy.","No início do combate, a Criatura combatente com menor :courage:Coragem perde 10 de Energia.",One night here means a lifetime of nightmares.,Uma noite aqui significa uma vida inteira de pesadelos.,FALSE,Wisdom,Sabedoria,,,"Andrew Bradshaw, Anthony Washington",https://i.imgur.com/MZNthqw.png,Fear Valley__dop
